Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,20.23,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,19.55,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,22.96,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,19.93,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,24.22,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2007,2007,tonnes of nutrients per 1000 ha,26.99,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2008,2008,tonnes of nutrients per 1000 ha,25.32,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2009,2009,tonnes of nutrients per 1000 ha,19.47,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2010,2010,tonnes of nutrients per 1000 ha,23.08,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,3.6,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,4.81,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,3.23,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,5.61,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,5.42,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2007,2007,tonnes of nutrients per 1000 ha,1.73,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2008,2008,tonnes of nutrients per 1000 ha,3.52,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2009,2009,tonnes of nutrients per 1000 ha,1.21,Fc,Calculated data
EF,Fertilizers,159,Nigeria,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2010,2010,tonnes of nutrients per 1000 ha,2.04,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,0.47,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,0.54,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,0.48,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,0.32,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,0.53,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2007,2007,tonnes of nutrients per 1000 ha,0.47,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2008,2008,tonnes of nutrients per 1000 ha,1.23,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2009,2009,tonnes of nutrients per 1000 ha,0.8,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2010,2010,tonnes of nutrients per 1000 ha,0.71,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,2.18,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,2.59,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,3.09,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,2.95,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,3.45,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2007,2007,tonnes of nutrients per 1000 ha,3.56,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2008,2008,tonnes of nutrients per 1000 ha,3.35,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2009,2009,tonnes of nutrients per 1000 ha,5.07,Fc,Calculated data
EF,Fertilizers,215,United Republic of Tanzania,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2010,2010,tonnes of nutrients per 1000 ha,4.39,Fc,Calculated data
